fmFreq,areaID,fmName
91.5,AREA1,HBCラジオ
90.4,AREA1,STVラジオ
80.4,AREA1,AIR-G'(FM北海道)
82.5,AREA1,FM NORTH WAVE
91.7,AREA1,RAB青森放送
80.0,AREA1,エフエム青森
90.6,AREA1,IBCラジオ
76.1,AREA1,エフエム岩手
93.5,AREA1,TBCラジオ
77.1,AREA1,Date fm(エフエム仙台)
90.1,AREA1,ABS秋田放送
92.4,AREA1,YBC山形放送
90.8,AREA1,RFCラジオ福島
81.8,AREA1,ふくしまFM
90.5,AREA2,TBSラジオ
91.6,AREA2,文化放送
93.0,AREA2,ニッポン放送
89.7,AREA2,InterFM897
80.0,AREA2,TOKYO FM
81.3,AREA2,J-WAVE
92.4,AREA2,ラジオ日本
78.0,AREA2,bayfm78
79.5,AREA2,NACK5
84.7,AREA2,FMヨコハマ
94.6,AREA2,IBS茨城放送
94.1,AREA2,CRT栃木放送
76.4,AREA2,RadioBerry
86.3,AREA2,FM GUNMA
92.7,AREA3,BSNラジオ
77.5,AREA3,FM NIIGATA
79.0,AREA3,FM PORT
90.2,AREA3,KNBラジオ
82.7,AREA3,FMとやま
94.0,AREA3,MRO北陸放送ラジオ
80.5,AREA3,エフエム石川
94.6,AREA3,FBCラジオ
90.9,AREA3,YBSラジオ
83.0,AREA3,FM-FUJI
94.2,AREA3,SBCラジオ
79.7,AREA3,FM長野
93.9,AREA4,CBCラジオ
92.9,AREA4,東海ラジオ
90.4,AREA4,ぎふチャン
77.8,AREA4,ZIP-FM
79.5,AREA4,RADIO NEO
80.7,AREA4,@FM
80.0,AREA4,FM GIFU
93.9,AREA4,SBSラジオ
79.2,AREA4,K-MIN SHIZUOKA
78.9,AREA4,レディオキューブFM三重
93.3,AREA5,ABCラジオ
90.6,AREA5,MBSラジオ
91.9,AREA5,OBCラジオ大阪
76.5,AREA5,FM COCOLO
80.2,AREA5,FM802
85.1,AREA5,FM OH!
91.1,AREA5,CRKラジオ関西
89.9,AREA5,Kiss FM KOBE
77.0,AREA5,e-radio FM滋賀
94.9,AREA5,KBS京都ラジオ
89.4,AREA5,α-STATION FM京都
94.2,AREA5,wbs和歌山放送
92.2,AREA6,BSSラジオ
91.4,AREA6,RSKラジオ
94.6,AREA6,RCCラジオ
78.2,AREA6,広島FM
92.3,AREA6,KRY山口放送
93.0,AREA6,JRT四国放送
91.7,AREA6,RNB南海放送
79.7,AREA6,FM愛媛
90.8,AREA6,RKC高知放送
91.0,AREA7,RKBラジオ
90.2,AREA7,KBCラジオ
76.1,AREA7,LOVE FM
78.7,AREA7,cross fm
80.7,AREA7,FM FUKUOKA
92.6,AREA7,NBC長崎放送
79.5,AREA7,FM長崎
91.4,AREA7,RKKラジオ
77.4,AREA7,FMKエフエム熊本
93.3,AREA7,OBSラジオ
88.0,AREA7,エフエム大分
90.4,AREA7,宮崎放送
92.8,AREA7,MBCラジオ
79.8,AREA7,μFM
92.1,AREA7,RBCiラジオ
93.1,AREA7,ラジオ沖縄
87.3,AREA7,FM沖縄
