ID,streamingText,streamingValue
NHKWorld,NHKWorld,https://nhkworld.webcdn.stream.ne.jp/www11/nhkworld-tv/domestic/263942/live_mi_s.m3u8
NHKR1,NHKR1,https://nhkradioakr1-i.akamaihd.net/hls/live/511633/1-r1/1-r1-01.m3u8
NHKR2,NHKR2,https://nhkradioakr2-i.akamaihd.net/hls/live/511929/1-r2/1-r2-01.m3u8
NHKFM,NHKFM,https://nhkradioakfm-i.akamaihd.net/hls/live/512290/1-fm/1-fm-01.m3u8
WREP,WREP,http://139.99.4.28/
touhou,touhouradio,http://www.touhouradio.com/touhouradio.m3u
J1HITS,J1 HITS,http://sky1.torontocast.com:9041/.mp3
J1XTRA,J1 XTRA,http://sky1.torontocast.com:9061/j1.mp3
J1GOLD,J1 GOLD,http://sky1.torontocast.com:9069/.mp3
J1Achan,J1 Achan,http://sky1.torontocast.com:9073/.mp3
Jazz24,Jazz24,http://icy1.abacast.com/kplu-jazz24mp3-32.m3u
WQXR,WQXR,http://wnyc-wqxr-ice.streamguys.com:80/wqxr
BBCR1,BBC Radio 1,http://bbcmedia.ic.llnwd.net/stream/bbcmedia_radio1_mf_p
BBCR2,BBC Radio 2,http://bbcmedia.ic.llnwd.net/stream/bbcmedia_radio2_mf_p
BBCR3,BBC Radio 3,http://bbcmedia.ic.llnwd.net/stream/bbcmedia_radio3_mf_p
BBCR4,BBC Radio 4,http://bbcmedia.ic.llnwd.net/stream/bbcmedia_radio4fm_mf_p
BBCR5,BBC Radio 5,http://bbcmedia.ic.llnwd.net/stream/bbcmedia_radio5live_mf_p
BBCR6,BBC Radio 6,http://bbcmedia.ic.llnwd.net/stream/bbcmedia_6music_mf_p
BBCR1E,BBC Radio 1 Extra,http://bbcmedia.ic.llnwd.net/stream/bbcmedia_radio1xtra_mf_p
BBCR4E,BBC Radio 4 Extra,http://bbcmedia.ic.llnwd.net/stream/bbcmedia_radio4extra_mf_p
BBCAsia,BBC Radio Asian Network,http://bbcmedia.ic.llnwd.net/stream/bbcmedia_asianet_mf_p0
BBCWorld,BBC World Service,http://bbcwssc.ic.llnwd.net/stream/bbcwssc_mp1_ws-eieuk
BBCBristol,BBC Radio Bristol,http://bbcmedia.ic.llnwd.net/stream/bbcmedia_lrbris_mf_p
BBCCambridge,BBC Radio Cambridgeshire,http://bbcmedia.ic.llnwd.net/stream/bbcmedia_lrcambs_mf_p
BBCLondon,BBC Radio London,http://bbcmedia.ic.llnwd.net/stream/bbcmedia_lrldn_mf_p
BBCOxford,BBC Radio Oxford,http://bbcmedia.ic.llnwd.net/stream/bbcmedia_lroxford_mf_p
Raute40,RauteMusik Top40,http://138.201.248.93:80/top40
RauteHHC,RauteMusik Happy Hard Core,http://138.201.248.93:80/happyhardcore
RauteMain,RauteMusik Main,http://138.201.248.93:80/main
Raute90s,RauteMusik 90s,http://138.201.248.93:80/90s
RautePiano,RauteMusik Solo Piano,http://138.201.248.93:80/solopiano
RauteHarder,RauteMusik HardeR,http://138.201.248.93:80/harder
RauteTrance,RauteMusik Trance,http://138.201.248.93:80/trance
RauteClub,RauteMusik Club,http://138.201.248.93:80/club
RauteGold,RauteMusik Goldies,http://138.201.248.93:80/goldies
ABCFM,ABC Classic FM,http://live-radio01.mediahubaustralia.com/2FMW/mp3
ABCClassic,ABC Classic 2,http://live-radio01.mediahubaustralia.com/FM2W/mp3
RTHKR3,RTHK R3,http://stm.rthk.hk/radio3
RTHKR4,RTHK R4,http://stm.rthk.hk/radio4
